;Tweets;Weekday;Month;DayOfMonth;Hour;Min;Sec;Year;sentiment
148;Ayooo dede bisa go go go #eh RT @dedeyola: Enak kali nasibnya --" RT @Achsan_: Hahhahahahaha -_____---""" RT @dedeyola:;Thu;Feb;9;3;32;38;2012;0.0
149;@rizkargh iya nih riz, banyak bet.. Haha.. Keq'a lbh bnyk dr yg kmrn.--a;Thu;Feb;9;3;35;23;2012;0.0
150;makin bnyak aja unfollowers;Thu;Feb;9;3;39;51;2012;0.0
151;Mulai 500k aja. RT @SuperSky4: Ngom in harga kalian berharap price rangenya brp? Tp yg masuk akal ya jawabnya kalo 300 rb ga mungkin bisa so;Thu;Feb;9;3;42;46;2012;0.0
152;Ibu majikan pajaknya plg bnyk loh tinggal siapa yg belom.. Dita.. Nuscha.. Bokek.-_-;Thu;Feb;9;3;44;28;2012;0.0
153;@ratihcintya pemain pilarnya juga bnyk cedera tih :( ko kita bisa sama sih suka de gea,aaaa tidak de gea very handsome ;);Thu;Feb;9;16;18;23;2012;0.4159
154;Yah aku msh bnyak kk;Thu;Feb;9;16;18;46;2012;0.3612
155;karna dr awal gak serius :) RT @SoalASMARA: apa sebabnya perselingkuhan itu kerap kali terjadi? #SA;Thu;Feb;9;16;20;5;2012;0.4588
156;Haduhhh bnyak yg pro dan kontra jdi bingung saia, jd goyang niatan ku. God.. can you help me :'(;Thu;Feb;9;16;20;41;2012;-0.128
157;Boong bgt RT @renokris: Bb nya baru lgi kmrin add aku dia RT @siscareza: Bbnya dy aja off :p RT @renokris: *capture+kirim;Thu;Feb;9;16;25;54;2012;0.25
158;Doug won a pony (John in pic) from the Wells Fargo booth! Sorry I don't know the booth #. #IBS2012 http://t.co/9xWdSUQ0;Thu;Feb;9;16;27;18;2012;0.69
