"","Tweets","Language","Follower","favourites_count","friends_count","statuses_count","time_zone","id_str","location","coordinates","retweet_count","id_str_tweet","in_reply_to_status_id_str","Weekday","Month","DayOfMonth","Hour","Min","Sec","Timezone","Year"
"55","<U+CD94><U+CC9C>! RT @ecbizt: @leejangwoo <U+AC15><U+B3D9><U+AD6C><U+CABD><U+C5D0> <U+C5D0><U+C77C><U+B9AC><U+C5B8><U+CEE4><U+D53C><U+B780><U+B370><U+AC00> <U+CF00><U+B0D0>AA<U+AC00><U+C815><U+B9D0><U+B9DB><U+C788><U+B354><U+B77C><U+AD6C><U+C694>.<U+C5D0><U+D2F0><U+C624><U+D53C><U+C544><U+CABD><U+C740><U+C548><U+BA39><U+B294><U+B370><U+C608><U+AC00><U+CCB4><U+D504><U+C120><U+BB3C><U+BC1B><U+C544><U+C11C>~<U+B2E4><U+B978><U+C0AC><U+B78C><U+C120><U+BB3C><U+C8FC><U+C5C8><U+B294><U+B370><U+AC83><U+B3C4><U+B9DB><U+C774><U+AD1C><U+CC2E><U+B2E4><U+B124><U+C694>.<U+AE38><U+B3D9><U+ADFC><U+CC98><U+C0AC><U+C2DC><U+B294><U+BD84><U+B4E4><U+C740><U+D568> <U+C0AC><U+C11C><U+B4DC><U+C154><U+BCF4><U+C138><U+C694>~<U+D720><U+CCB4><U+C5B4><U+D0C0><U+B294><U+CE5C><U+AD6C><U+AC00><U+C18C><U+AC1C><U+D588><U+B2E4><U+BA74><U+CACC><U+AE4D><U+C544><U+C8FC><U+C2E4><U+C218><U+B3C4>","en","76585","30","80992","34296","Seoul","104320780","Seoul, Dynamic Korea",NA,"0","171026545643757569",NA,"Sun","Feb","19","00","21","20","+0000","2012"
"56","@jessecbrooks @WookthaCrook ok name a kickass place to eat in town i have npt been to yet","en","159","9","302","6336","Central Time (US & Canada)","38666791","amite river in louisiana ",NA,"0","171030119207538688","171029464971612160","Sun","Feb","19","00","35","32","+0000","2012"
"57","""@alecbaldwin: I think you all should see THE DESCENDANTS. Clooney is very good. Payne is one of my favorite directors."" Agreed!","en","60","3","88","768","Harare","288211975","Cape Town, South Africa",NA,"0","171156162237046784",NA,"Sun","Feb","19","08","56","23","+0000","2012"
"58","RT @willtage: Hoje a noite no carnaval de Recife tem @mombojo, Quanta Ladeira e um #Recbeat cheio de atrações. Sem falar nos shows do Ma ...","en","156","5","324","6309","Brasilia","160246907","Barbalha-CE",NA,"0","171282016522862592",NA,"Sun","Feb","19","17","16","29","+0000","2012"
"59","Make #USA #Shark #FinFree http://t.co/PpPA9tU2 #SaveSharks Ban the #SharkFin Trade in #America #US @alecbaldwin","en","439","51","297","13590",NA,"388217824","Cardiff, Wales",NA,"0","171412144812863488",NA,"Mon","Feb","20","01","53","34","+0000","2012"
"60","RT @lindsaylohan @alecbaldwin I think it would be amazing if you would consider doing a walk on for my snl.. no?","en","50","5","395","657","Central Time (US & Canada)","430110617","",NA,"0","171412807483539456",NA,"Mon","Feb","20","01","56","12","+0000","2012"
"61","@alecbaldwin #Murdoch #IRA #IanHurst
http://t.co/egx4z3ED #MurdochMafia","en","213","0","348","5809",NA,"359220601","",NA,"0","171668257378533379","171612486083158016","Mon","Feb","20","18","51","16","+0000","2012"
"62","“@pittyleone: SEM PALAVRAS! PQP, emocionante demais, valeu Recife e@recbeatfestival”","en","39","1","42","885","Brasilia","258317594","","-38.56321173;-3.77172166","0","171925141750689793",NA,"Tue","Feb","21","11","52","02","+0000","2012"
"63","Dear @alecbaldwin would you do my voice mail message someday? it would be the coolest thing in the whole world!!!","en","118","60","193","5841","Pacific Time (US & Canada)","45535769","Vancouver",NA,"0","171925213049655296",NA,"Tue","Feb","21","11","52","19","+0000","2012"
"64","@Drlaecb morninggg","en","280","65","502","8537","Hawaii","438015930","Canada",NA,"0","171927763165515776","171924432263192578","Tue","Feb","21","12","02","27","+0000","2012"
